cash_after,cash_before,close,dix,price,ticker,time,tx,volume
11197092.702906445,75.19507846236229,5.164976025164,2016-05-11 00:00:00,5.178089325405655,FTR,1478392874,sell,2162384
513365994.8784857,11197092.702906445,38.748462597522,2016-05-11 00:00:00,38.72095890316665,T,1478392874,sell,12968917
69567738.97748578,513365994.8784857,51.15,2016-05-11 00:00:00,51.20114999999999,VZ,1478392875,buy,8667740
65313874.14889043,69567738.97748578,27.362852776982002,2016-05-12 00:00:00,27.39021562975898,CTL,1478392875,buy,155306
100600219.10889043,65313874.14889043,51.77,2016-05-13 00:00:00,52.48,LVLT,1478392875,sell,672377
972844362.4800304,100600219.10889043,50.94,2016-05-13 00:00:00,51.25577,VZ,1478392875,sell,17017482
29769037.495974064,972844362.4800304,38.718793024323,2016-05-13 00:00:00,38.91881539697081,T,1478392875,buy,24231861
970171549.8455542,29769037.495974064,38.847361174850995,2016-05-16 00:00:00,38.80851381367614,T,1478392876,sell,24231861
35272258.76555419,970171549.8455542,51.23,2016-05-16 00:00:00,50.77,VZ,1478392876,buy,18414404
158434.95783352107,35272258.76555419,38.02650298302,2016-05-18 00:00:00,38.485837425424045,T,1478392877,buy,912383
34809460.779389165,158434.95783352107,38.016613125287,2016-05-19 00:00:00,37.978596512161715,T,1478392877,sell,912383
949095668.0217891,34809460.779389165,49.66,2016-05-20 00:00:00,49.6506,VZ,1478392877,sell,18414404
929545076.8119137,949095668.0217891,4.7919499789021,2016-05-20 00:00:00,4.744126126817299,FTR,1478392877,buy,4121010
28448266.420479536,929545076.8119137,38.02650298302,2016-05-20 00:00:00,38.06452948600302,T,1478392877,buy,23672874
926761256.8285227,28448266.420479536,37.897934832492,2016-05-23 00:00:00,37.94693413262974,T,1478392878,sell,23672874
946174599.7347838,926761256.8285227,4.868468142237901,2016-05-24 00:00:00,4.7108215962254505,FTR,1478392878,sell,4121010
34409167.81478381,946174599.7347838,49.58,2016-05-24 00:00:00,49.36,VZ,1478392878,buy,18471747
